position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
0_0	976925292377312_1198589746877531	c1f03af14477b9067658509bc73b8b0efd51441a	#Referendum  #costituzione www.youreporter.it non è schierato  ma il messaggio con i cartelli di questa anziana  per i giovani  è troppo bello per non essere condiviso... Referendum 4 Dicembre: NO a  trivellare  la Costituzione	2016-11-18T17:58:20+0000	10154839509736414_10154840205721414	1ead82c12a4b6ac597b7f9600cd70063bbaa1b5e	1	la musichetta... è il 24 maggio...., ma il "discorso" della nonnetta sa di 5 stelle	2016-11-18T20:17:22+0000	0
0_1	976925292377312_1198589746877531	c1f03af14477b9067658509bc73b8b0efd51441a	#Referendum  #costituzione www.youreporter.it non è schierato  ma il messaggio con i cartelli di questa anziana  per i giovani  è troppo bello per non essere condiviso... Referendum 4 Dicembre: NO a  trivellare  la Costituzione	2016-11-18T17:58:20+0000	10154839509736414_10154839992111414	9dd23141cd60cceb1a987586e0e6fe98f4ba36f5	0	Tanto di cappello alla signora, ma il messaggio è POCO POCO populista, eh?  Poi le musichette fasciste di sottofondo sono un vero tocco di classe; immagino già l'intervista da parte de Il Giornale, nei prossimi giorni. :-(	2016-11-18T18:36:51+0000	0
0_2	976925292377312_1198589746877531	c1f03af14477b9067658509bc73b8b0efd51441a	#Referendum  #costituzione www.youreporter.it non è schierato  ma il messaggio con i cartelli di questa anziana  per i giovani  è troppo bello per non essere condiviso... Referendum 4 Dicembre: NO a  trivellare  la Costituzione	2016-11-18T17:58:20+0000	10154839509736414_10154840185076414	1ead82c12a4b6ac597b7f9600cd70063bbaa1b5e	0	io, convinta di votare no, dopo queste nefandezze voterei sì; perché non sono così! tra tutti i sostenitori del no, e quelli del sì...mi asterrei.	2016-11-18T20:14:21+0000	0
0_3	976925292377312_1198589746877531	c1f03af14477b9067658509bc73b8b0efd51441a	#Referendum  #costituzione www.youreporter.it non è schierato  ma il messaggio con i cartelli di questa anziana  per i giovani  è troppo bello per non essere condiviso... Referendum 4 Dicembre: NO a  trivellare  la Costituzione	2016-11-18T17:58:20+0000	10154839509736414_10154839742606414	b2650956f658e7cc12ca0080b04edd51478db65b	0	Che gran bella nonna. Una gran donna. Tanto di cappello.	2016-11-18T16:42:10+0000	0
0_4	976925292377312_1198589746877531	c1f03af14477b9067658509bc73b8b0efd51441a	#Referendum  #costituzione www.youreporter.it non è schierato  ma il messaggio con i cartelli di questa anziana  per i giovani  è troppo bello per non essere condiviso... Referendum 4 Dicembre: NO a  trivellare  la Costituzione	2016-11-18T17:58:20+0000	10154839509736414_10154839875176414	3f9391e4c1c4483282c3aa0d458218b663e1f363	0	Ovvio che vota NO , ha altre esigenze che giovani	2016-11-18T17:45:20+0000	0
0_5	976925292377312_1198589746877531	c1f03af14477b9067658509bc73b8b0efd51441a	#Referendum  #costituzione www.youreporter.it non è schierato  ma il messaggio con i cartelli di questa anziana  per i giovani  è troppo bello per non essere condiviso... Referendum 4 Dicembre: NO a  trivellare  la Costituzione	2016-11-18T17:58:20+0000	10154839509736414_10154840223211414	dab9135d88a79a5fa242c80ec96b414b74eac6f4	0	Toglietevi di torno...	2016-11-18T20:25:41+0000	0
0_6	976925292377312_1198589746877531	c1f03af14477b9067658509bc73b8b0efd51441a	#Referendum  #costituzione www.youreporter.it non è schierato  ma il messaggio con i cartelli di questa anziana  per i giovani  è troppo bello per non essere condiviso... Referendum 4 Dicembre: NO a  trivellare  la Costituzione	2016-11-18T17:58:20+0000	10154839509736414_10154840032431414	01593442207e94b71f11a5700514a1d441a30fc1	0	Non siete schierati? Ma per piacere che li avete pubblicati i video a senso unico peril NO...	2016-11-18T18:58:14+0000	0
15_0	976925292377312_1195516610518178	993ca655a4a446e90e7e7273cfba2912d48da897	Il 4 dicembre non riuscirai ad essere nel tuo comune di residenza e votare NO? compila questo form e potrai votare nel tuo comune di domicilio:  http://www.votofuorisede.com/  Condividi il post oppure tagga qui sotto i tuoi amici che possono essere interessati.  Ah  stai tranquillo  non abbiamo sbagliato a scrivere il sito ;-)	2016-11-15T15:49:34+0000	1195516610518178_1195727433830429	048930d964674217bbee54679fd099676bc1427a	0	Ho fatto il biglietto ferroviario non appena ho avuto la certezza che la data non sarebbe cambiata. Non mancherà il mio no convinto. No a questa riforma costituzionale che trivella la nostra Costituzione, per rispetto ai nostri padri costituzionalisti e ai partigiani che anche al prezzo della propria vita l'hanno resa possibile. Il desiderio del cambiamento non ci conduca a soluzioni affrettate che rischiano addirittura di farci rinunciare alla democrazia.	2016-11-15T20:55:22+0000	0
15_1	976925292377312_1195516610518178	993ca655a4a446e90e7e7273cfba2912d48da897	Il 4 dicembre non riuscirai ad essere nel tuo comune di residenza e votare NO? compila questo form e potrai votare nel tuo comune di domicilio:  http://www.votofuorisede.com/  Condividi il post oppure tagga qui sotto i tuoi amici che possono essere interessati.  Ah  stai tranquillo  non abbiamo sbagliato a scrivere il sito ;-)	2016-11-15T15:49:34+0000	1195516610518178_1196131160456723	6c66dc3b2fcb6e86290d21d2fa3fe44a18b59a4c	0	cortesemente, dato che vivo all'estero da anni... potete dirmi un pò che dice questo referendum? quali sono i pro e quali i contro?	2016-11-16T07:16:46+0000	0
15_2	976925292377312_1195516610518178	993ca655a4a446e90e7e7273cfba2912d48da897	Il 4 dicembre non riuscirai ad essere nel tuo comune di residenza e votare NO? compila questo form e potrai votare nel tuo comune di domicilio:  http://www.votofuorisede.com/  Condividi il post oppure tagga qui sotto i tuoi amici che possono essere interessati.  Ah  stai tranquillo  non abbiamo sbagliato a scrivere il sito ;-)	2016-11-15T15:49:34+0000	1195516610518178_1195685417167964	70bf80eb4607a15bc1a863a8b87bb89611848d09	0	Pabla Bellini Maria Cristina Salvo	2016-11-15T20:05:53+0000	2
