type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_user_646923735447140	646923735447140_1013276062115415	https://www.facebook.com/646923735447140/posts/1013276062115415	http://www.ilfattoquotidiano.it/2016/11/18/referendum-lo-sfogo-del-grillino-allestero-contro-renzi-4-milioni-per-le-lettere-ecco-cosa-potevi-fare-con-quei-soldi/3202898/ #IoDicoNO #IoVotoNO @comitatono #IoStoConBea #SonoUnAlgorittimo	https://external.xx.fbcdn.net/safe_image.php?d=AQB9oyzATGP2T14w&w=130&h=130&url=http%3A%2F%2Fst.ilfattoquotidiano.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fgrillino-vs-renzi-675-524x275.jpg&cfs=1&sx=110&sy=0&sw=275&sh=275	https://external.xx.fbcdn.net/safe_image.php?d=AQC1jmxffoj0F-fD&url=http%3A%2F%2Fst.ilfattoquotidiano.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fgrillino-vs-renzi-675-524x275.jpg	http://www.ilfattoquotidiano.it/2016/11/18/referendum-lo-sfogo-del-grillino-allestero-contro-renzi-4-milioni-per-le-lettere-ecco-cosa-potevi-fare-con-quei-soldi/3202898/	ilfattoquotidiano.it	2016-11-18T21:35:04+0000	1479504904	2016-11-18 22:35:04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_646923735447140	646923735447140_1013275332115488	https://www.facebook.com/646923735447140/posts/1013275332115488		https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15095719_1013275332115488_5434528290640445829_n.jpg?oh=0a65ff6b246268131ef5a7b061f4229c&oe=58BCB268	https://scontent.xx.fbcdn.net/v/t1.0-9/15095719_1013275332115488_5434528290640445829_n.jpg?oh=87d83a19255402d8fef98b16ecc5ddf7&oe=588DAE03	https://www.facebook.com/photo.php?fbid=1013275332115488&set=o.646923735447140&type=3	facebook.com	2016-11-18T21:34:01+0000	1479504841	2016-11-18 22:34:01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_646923735447140	646923735447140_1013275225448832	https://www.facebook.com/646923735447140/posts/1013275225448832	http://www.ilfattoquotidiano.it/2016/11/18/referendum-lo-sfogo-del-grillino-allestero-contro-renzi-4-milioni-per-le-lettere-ecco-cosa-potevi-fare-con-quei-soldi/3202898/ #IoDicoNO #IoVotoNO @comitatono #IoStoConBea #SonoUnAlgorittimo	https://external.xx.fbcdn.net/safe_image.php?d=AQB9oyzATGP2T14w&w=130&h=130&url=http%3A%2F%2Fst.ilfattoquotidiano.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fgrillino-vs-renzi-675-524x275.jpg&cfs=1&sx=110&sy=0&sw=275&sh=275	https://external.xx.fbcdn.net/safe_image.php?d=AQC1jmxffoj0F-fD&url=http%3A%2F%2Fst.ilfattoquotidiano.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fgrillino-vs-renzi-675-524x275.jpg	http://www.ilfattoquotidiano.it/2016/11/18/referendum-lo-sfogo-del-grillino-allestero-contro-renzi-4-milioni-per-le-lettere-ecco-cosa-potevi-fare-con-quei-soldi/3202898/	ilfattoquotidiano.it	2016-11-18T21:33:40+0000	1479504820	2016-11-18 22:33:40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_646923735447140	646923735447140_784884921651020	https://www.facebook.com/646923735447140/posts/784884921651020	Mai essere troppo accondiscendenti! E poi lo dice pure lo psicologo: i NO aiutano a crescere ...					2016-11-18T20:05:33+0000	1479499533	2016-11-18 21:05:33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_user_646923735447140	646923735447140_10211585290373776	https://www.facebook.com/646923735447140/posts/10211585290373776	https://www.facebook.com/immedialive/videos/1828675570751139/	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14992451_1828701700748526_1234741542128713728_n.jpg?oh=b640a19148fffd8e6dad6917936b3ccd&oe=58C0A923	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14992451_1828701700748526_1234741542128713728_n.jpg?oh=c0ca330bc8a58647cc0417547b9a856a&oe=58BFD201	https://www.facebook.com/immedialive/videos/1828675570751139/	facebook.com	2016-11-18T19:04:38+0000	1479495878	2016-11-18 20:04:38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_646923735447140	646923735447140_784848631654649	https://www.facebook.com/646923735447140/posts/784848631654649	Buonasera! Approdo a voi nella speranza di avere lumi e nella totale assenza di risposte sensate ad un mio dubbio. A me la riforma costituzionale  pur con qualche boccone amaro  tutto sommato piace  ma all articolo 1 trovo una cosa che per me è uno scoglio insuperabile: il nuovo articolo 55 della costituzione (Art.1 della riforma) reciterà che  La Camera dei deputati [..] esercita la funzione [..] di controllo dell’operato del Governo . A me pare che questo violi clamorosamente la separazione dei poteri alla base dello stato di diritto moderno. Non si è usata infatti la parola  verifica   inequivocabile  ma  controlla  che può benissimo essere intesa come  pilota    comanda . Grazie in anticipo per la risposta					2016-11-18T18:22:08+0000	1479493328	2016-11-18 19:22:08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_646923735447140	646923735447140_784756274997218	https://www.facebook.com/646923735447140/posts/784756274997218	Appena votato SI da Londra. Dai che vinciamo 👍🏻 viva l Italia libera e democratica 🇮🇹					2016-11-18T14:08:25+0000	1479478105	2016-11-18 15:08:25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_646923735447140	646923735447140_10209360157214710	https://www.facebook.com/646923735447140/posts/10209360157214710	http://www.ilfattoquotidiano.it/2016/11/16/delrio-pronto-a-votare-no-la-deputata-m5s-sfotte-il-ministro-e-recupera-video-in-cui-diceva-la-costituzione-non-va-cambiata/3198207/	https://external.xx.fbcdn.net/safe_image.php?d=AQBsdUhNl1jFwjfg&w=130&h=130&url=http%3A%2F%2Fst.ilfattoquotidiano.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fdel-rio-telereggio-675-524x275.jpg&cfs=1&sx=249&sy=0&sw=275&sh=275	https://external.xx.fbcdn.net/safe_image.php?d=AQCAtG7tRBmeGOVn&url=http%3A%2F%2Fst.ilfattoquotidiano.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fdel-rio-telereggio-675-524x275.jpg	http://www.ilfattoquotidiano.it/2016/11/16/delrio-pronto-a-votare-no-la-deputata-m5s-sfotte-il-ministro-e-recupera-video-in-cui-diceva-la-costituzione-non-va-cambiata/3198207/	ilfattoquotidiano.it	2016-11-18T06:01:35+0000	1479448895	2016-11-18 07:01:35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_646923735447140	646923735447140_10209360154734648	https://www.facebook.com/646923735447140/posts/10209360154734648	http://www.ilfattoquotidiano.it/2016/11/16/delrio-pronto-a-votare-no-la-deputata-m5s-sfotte-il-ministro-e-recupera-video-in-cui-diceva-la-costituzione-non-va-cambiata/3198207/	https://external.xx.fbcdn.net/safe_image.php?d=AQBsdUhNl1jFwjfg&w=130&h=130&url=http%3A%2F%2Fst.ilfattoquotidiano.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fdel-rio-telereggio-675-524x275.jpg&cfs=1&sx=249&sy=0&sw=275&sh=275	https://external.xx.fbcdn.net/safe_image.php?d=AQCAtG7tRBmeGOVn&url=http%3A%2F%2Fst.ilfattoquotidiano.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fdel-rio-telereggio-675-524x275.jpg	http://www.ilfattoquotidiano.it/2016/11/16/delrio-pronto-a-votare-no-la-deputata-m5s-sfotte-il-ministro-e-recupera-video-in-cui-diceva-la-costituzione-non-va-cambiata/3198207/	ilfattoquotidiano.it	2016-11-18T06:00:36+0000	1479448836	2016-11-18 07:00:36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_646923735447140	646923735447140_331668560535961	https://www.facebook.com/646923735447140/posts/331668560535961		https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15079085_331668560535961_6781074228263223785_n.jpg?oh=4d236d6b6f8931a7bc68642e854298c0&oe=58C88A42	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15079085_331668560535961_6781074228263223785_n.jpg?oh=804c4b83d0aac9572b9fe31e7b5d1ba5&oe=58D100BD	https://www.facebook.com/photo.php?fbid=331668560535961&set=o.646923735447140&type=3	facebook.com	2016-11-17T20:38:29+0000	1479415109	2016-11-17 21:38:29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
