day	posts	likes	reactions	comments	shares
2016-05-30	1	14	16	1	9
2016-05-31	0	0	0	0	0
2016-06-01	0	0	0	0	0
2016-06-02	1	9	9	0	7
2016-06-03	0	0	0	0	0
2016-06-04	0	0	0	0	0
2016-06-05	0	0	0	0	0
2016-06-06	0	0	0	0	0
2016-06-07	0	0	0	0	0
2016-06-08	0	0	0	0	0
2016-06-09	0	0	0	0	0
2016-06-10	0	0	0	0	0
2016-06-11	0	0	0	0	0
2016-06-12	0	0	0	0	0
2016-06-13	0	0	0	0	0
2016-06-14	0	0	0	0	0
2016-06-15	0	0	0	0	0
2016-06-16	1	8	8	0	7
2016-06-17	0	0	0	0	0
2016-06-18	0	0	0	0	0
2016-06-19	0	0	0	0	0
2016-06-20	0	0	0	0	0
2016-06-21	0	0	0	0	0
2016-06-22	1	15	15	0	5
2016-06-23	0	0	0	0	0
2016-06-24	1	7	7	0	4
2016-06-25	0	0	0	0	0
2016-06-26	0	0	0	0	0
2016-06-27	0	0	0	0	0
2016-06-28	0	0	0	0	0
2016-06-29	0	0	0	0	0
2016-06-30	0	0	0	0	0
2016-07-01	1	10	11	1	12
2016-07-02	0	0	0	0	0
2016-07-03	0	0	0	0	0
2016-07-04	1	6	6	0	6
2016-07-05	0	0	0	0	0
2016-07-06	2	18	18	1	8
2016-07-07	0	0	0	0	0
2016-07-08	0	0	0	0	0
2016-07-09	0	0	0	0	0
2016-07-10	0	0	0	0	0
2016-07-11	0	0	0	0	0
2016-07-12	0	0	0	0	0
2016-07-13	2	28	28	3	15
2016-07-14	0	0	0	0	0
2016-07-15	0	0	0	0	0
2016-07-16	1	14	15	0	4
2016-07-17	0	0	0	0	0
2016-07-18	0	0	0	0	0
2016-07-19	0	0	0	0	0
2016-07-20	0	0	0	0	0
2016-07-21	0	0	0	0	0
2016-07-22	0	0	0	0	0
2016-07-23	0	0	0	0	0
2016-07-24	0	0	0	0	0
2016-07-25	0	0	0	0	0
2016-07-26	2	17	18	1	10
